symbol,time,signal,direction,score,entry,exit,result,pnl_percent
QQQ,2026-03-24 13:10:00-04:00,BUY PUT,SHORT,80,583.24,584.7,LOSS,-0.25
QQQ,2026-03-25 13:40:00-04:00,BUY CALL,LONG,100,589.97,588.5,LOSS,-0.25
QQQ,2026-03-26 12:25:00-04:00,BUY PUT,SHORT,85,579.04,576.14,WIN,0.5
QQQ,2026-03-27 11:20:00-04:00,BUY PUT,SHORT,80,567.57,568.99,LOSS,-0.25
QQQ,2026-03-30 13:00:00-04:00,BUY PUT,SHORT,85,561.37,558.56,WIN,0.5
QQQ,2026-04-01 14:00:00-04:00,BUY PUT,SHORT,75,584.86,584.86,BREAKEVEN,0.0
QQQ,2026-04-06 13:10:00-04:00,BUY PUT,SHORT,75,585.26,586.72,LOSS,-0.25
QQQ,2026-04-07 13:35:00-04:00,BUY CALL,LONG,100,586.05,584.58,LOSS,-0.25
QQQ,2026-04-08 14:55:00-04:00,BUY PUT,SHORT,75,602.79,604.29,LOSS,-0.25
QQQ,2026-04-10 11:55:00-04:00,BUY PUT,SHORT,75,610.6,611.02,TIME EXIT,-0.069
QQQ,2026-04-13 12:25:00-04:00,BUY CALL,LONG,100,613.49,616.56,WIN,0.5
QQQ,2026-04-14 11:20:00-04:00,BUY CALL,LONG,100,624.22,627.34,WIN,0.5
QQQ,2026-04-17 14:05:00-04:00,BUY PUT,SHORT,75,647.42,644.18,WIN,0.5
QQQ,2026-04-22 13:10:00-04:00,BUY CALL,LONG,100,653.45,653.99,TIME EXIT,0.083
QQQ,2026-04-23 13:05:00-04:00,BUY PUT,SHORT,75,652.06,648.8,WIN,0.5
QQQ,2026-04-29 12:30:00-04:00,BUY PUT,SHORT,75,657.54,659.18,LOSS,-0.25
QQQ,2026-05-04 11:20:00-04:00,BUY PUT,SHORT,75,671.53,673.21,LOSS,-0.25
QQQ,2026-05-05 11:00:00-04:00,BUY CALL,LONG,100,681.17,682.21,TIME EXIT,0.153
QQQ,2026-05-11 11:25:00-04:00,BUY CALL,LONG,100,713.27,712.16,TIME EXIT,-0.155
QQQ,2026-05-12 11:15:00-04:00,BUY PUT,SHORT,75,701.43,697.92,WIN,0.5
QQQ,2026-05-13 10:20:00-04:00,BUY CALL,LONG,100,708.83,712.37,WIN,0.5
QQQ,2026-05-14 13:15:00-04:00,BUY PUT,SHORT,75,718.06,719.85,LOSS,-0.25
QQQ,2026-05-18 14:15:00-04:00,BUY PUT,SHORT,75,700.15,701.9,LOSS,-0.25
QQQ,2026-05-19 12:25:00-04:00,BUY CALL,LONG,100,701.24,704.75,WIN,0.5
QQQ,2026-05-21 13:10:00-04:00,BUY CALL,LONG,100,712.04,715.6,WIN,0.5
QQQ,2026-05-22 13:25:00-04:00,BUY CALL,LONG,100,721.84,720.04,LOSS,-0.25
QQQ,2026-05-28 09:45:00-04:00,BUY PUT,SHORT,75,726.66,728.48,LOSS,-0.25
QQQ,2026-05-29 13:55:00-04:00,BUY PUT,SHORT,75,735.99,737.83,LOSS,-0.25
QQQ,2026-06-03 12:40:00-04:00,BUY PUT,SHORT,75,741.61,743.47,LOSS,-0.25
QQQ,2026-06-04 13:30:00-04:00,BUY CALL,LONG,100,741.79,739.94,LOSS,-0.25
QQQ,2026-06-05 12:05:00-04:00,BUY PUT,SHORT,75,718.94,715.35,WIN,0.5
QQQ,2026-06-08 11:00:00-04:00,BUY CALL,LONG,100,721.81,720.01,LOSS,-0.25
QQQ,2026-06-09 10:45:00-04:00,BUY PUT,SHORT,75,707.93,709.7,LOSS,-0.25
QQQ,2026-06-10 11:45:00-04:00,BUY PUT,SHORT,75,698.2,699.95,LOSS,-0.25
QQQ,2026-06-11 13:30:00-04:00,BUY CALL,LONG,100,710.2,708.42,LOSS,-0.25
QQQ,2026-06-16 10:20:00-04:00,BUY PUT,SHORT,75,739.83,736.13,WIN,0.5
QQQ,2026-06-17 14:00:00-04:00,BUY PUT,SHORT,75,727.0,728.82,LOSS,-0.25
