symbol,time,signal,score,price
QQQ,2026-03-24 13:10:00-04:00,BUY PUT,80,583.24
QQQ,2026-03-24 13:40:00-04:00,BUY PUT,85,582.77
QQQ,2026-03-24 13:55:00-04:00,BUY PUT,80,584.55
QQQ,2026-03-24 14:25:00-04:00,BUY CALL,85,584.95
QQQ,2026-03-24 14:30:00-04:00,BUY CALL,85,585.46
QQQ,2026-03-24 14:35:00-04:00,BUY CALL,85,586.97
QQQ,2026-03-24 15:10:00-04:00,BUY CALL,85,586.28
QQQ,2026-03-24 15:50:00-04:00,BUY PUT,85,583.58
QQQ,2026-03-24 15:55:00-04:00,BUY PUT,80,583.93
QQQ,2026-03-25 09:30:00-04:00,BUY CALL,85,589.93
QQQ,2026-03-25 09:35:00-04:00,BUY CALL,85,590.34
QQQ,2026-03-25 09:40:00-04:00,BUY CALL,80,589.6
QQQ,2026-03-25 09:45:00-04:00,BUY CALL,80,588.86
QQQ,2026-03-25 09:50:00-04:00,BUY CALL,80,587.64
QQQ,2026-03-25 10:00:00-04:00,BUY CALL,80,588.28
QQQ,2026-03-25 10:05:00-04:00,BUY CALL,80,588.83
QQQ,2026-03-25 10:10:00-04:00,BUY CALL,85,589.72
QQQ,2026-03-25 12:20:00-04:00,BUY CALL,75,588.81
QQQ,2026-03-25 13:25:00-04:00,BUY CALL,85,589.09
QQQ,2026-03-25 13:35:00-04:00,BUY CALL,85,589.69
QQQ,2026-03-25 13:40:00-04:00,BUY CALL,100,589.97
QQQ,2026-03-26 09:30:00-04:00,BUY PUT,85,581.8
QQQ,2026-03-26 09:35:00-04:00,BUY PUT,85,580.52
QQQ,2026-03-26 09:40:00-04:00,BUY PUT,80,582.57
QQQ,2026-03-26 09:45:00-04:00,BUY PUT,80,582.84
QQQ,2026-03-26 09:50:00-04:00,BUY PUT,80,584.37
QQQ,2026-03-26 09:55:00-04:00,BUY PUT,80,583.99
QQQ,2026-03-26 10:10:00-04:00,BUY PUT,80,583.95
QQQ,2026-03-26 10:40:00-04:00,BUY PUT,85,581.83
QQQ,2026-03-26 10:45:00-04:00,BUY PUT,85,581.52
QQQ,2026-03-26 10:50:00-04:00,BUY PUT,100,580.54
QQQ,2026-03-26 11:15:00-04:00,BUY PUT,85,580.75
QQQ,2026-03-26 12:15:00-04:00,BUY PUT,80,580.4
QQQ,2026-03-26 12:25:00-04:00,BUY PUT,85,579.04
QQQ,2026-03-26 13:40:00-04:00,BUY PUT,85,576.98
QQQ,2026-03-26 13:55:00-04:00,BUY PUT,85,575.56
QQQ,2026-03-26 14:50:00-04:00,BUY PUT,80,576.19
QQQ,2026-03-26 15:05:00-04:00,BUY PUT,100,574.96
QQQ,2026-03-26 15:10:00-04:00,BUY PUT,80,575.0
QQQ,2026-03-26 15:15:00-04:00,BUY PUT,80,575.4
QQQ,2026-03-26 15:30:00-04:00,BUY PUT,100,574.6
QQQ,2026-03-26 15:35:00-04:00,BUY PUT,80,574.68
QQQ,2026-03-26 15:40:00-04:00,BUY PUT,80,574.39
QQQ,2026-03-26 15:45:00-04:00,BUY PUT,80,574.47
QQQ,2026-03-26 15:50:00-04:00,BUY PUT,85,573.61
QQQ,2026-03-27 09:30:00-04:00,BUY PUT,85,568.64
QQQ,2026-03-27 13:05:00-04:00,BUY PUT,80,566.77
QQQ,2026-03-27 13:15:00-04:00,BUY PUT,85,565.54
QQQ,2026-03-27 13:20:00-04:00,BUY PUT,85,565.22
QQQ,2026-03-27 13:25:00-04:00,BUY PUT,85,564.19
QQQ,2026-03-27 13:40:00-04:00,BUY PUT,85,563.91
QQQ,2026-03-27 13:50:00-04:00,BUY PUT,80,563.86
QQQ,2026-03-27 14:40:00-04:00,BUY PUT,80,563.83
QQQ,2026-03-27 14:50:00-04:00,BUY PUT,85,563.1
QQQ,2026-03-27 15:00:00-04:00,BUY PUT,85,562.8
QQQ,2026-03-27 15:40:00-04:00,BUY PUT,100,562.59
QQQ,2026-03-27 15:45:00-04:00,BUY PUT,100,562.33
QQQ,2026-03-27 15:50:00-04:00,BUY PUT,80,562.48
QQQ,2026-03-27 15:55:00-04:00,BUY PUT,80,562.5
QQQ,2026-03-30 09:55:00-04:00,BUY PUT,85,562.37
QQQ,2026-03-30 11:15:00-04:00,BUY PUT,85,562.5
QQQ,2026-03-30 12:15:00-04:00,BUY PUT,85,562.47
QQQ,2026-03-30 12:20:00-04:00,BUY PUT,85,562.3
QQQ,2026-03-30 12:25:00-04:00,BUY PUT,85,561.66
QQQ,2026-03-30 13:10:00-04:00,BUY PUT,85,561.01
QQQ,2026-03-30 13:15:00-04:00,BUY PUT,85,560.72
QQQ,2026-03-30 13:25:00-04:00,BUY PUT,85,559.77
QQQ,2026-03-30 13:30:00-04:00,BUY PUT,85,559.3
QQQ,2026-03-30 13:35:00-04:00,BUY PUT,80,559.99
QQQ,2026-03-30 14:25:00-04:00,BUY PUT,85,558.73
QQQ,2026-03-30 14:45:00-04:00,BUY PUT,85,558.48
QQQ,2026-03-30 14:50:00-04:00,BUY PUT,85,558.13
QQQ,2026-03-30 15:05:00-04:00,BUY PUT,85,556.82
QQQ,2026-03-30 15:10:00-04:00,BUY PUT,85,556.1
QQQ,2026-03-30 15:45:00-04:00,BUY PUT,80,557.41
QQQ,2026-03-30 15:50:00-04:00,BUY PUT,80,558.24
