symbol,time,signal,direction,score,entry,exit,result,pnl_percent
SPY,2026-03-24 13:10:00-04:00,BUY PUT,SHORT,80,652.94,654.57,LOSS,-0.25
SPY,2026-03-25 14:55:00-04:00,BUY PUT,SHORT,75,656.5,653.22,WIN,0.5
SPY,2026-03-26 12:25:00-04:00,BUY PUT,SHORT,85,649.47,646.22,WIN,0.5
SPY,2026-03-27 13:00:00-04:00,BUY PUT,SHORT,80,638.47,635.28,WIN,0.5
SPY,2026-03-30 12:55:00-04:00,BUY PUT,SHORT,80,635.3,632.12,WIN,0.5
SPY,2026-04-01 13:00:00-04:00,BUY CALL,LONG,100,658.31,656.66,LOSS,-0.25
SPY,2026-04-07 13:35:00-04:00,BUY CALL,LONG,100,657.44,655.8,LOSS,-0.25
SPY,2026-04-08 14:00:00-04:00,BUY CALL,LONG,100,676.22,674.53,LOSS,-0.25
SPY,2026-04-21 11:00:00-04:00,BUY PUT,SHORT,75,706.73,706.73,BREAKEVEN,0.0
SPY,2026-04-23 13:00:00-04:00,BUY PUT,SHORT,75,709.3,705.75,WIN,0.5
SPY,2026-04-29 11:50:00-04:00,BUY PUT,SHORT,75,709.55,711.32,LOSS,-0.25
SPY,2026-04-30 13:30:00-04:00,BUY CALL,LONG,100,716.24,719.82,WIN,0.5
SPY,2026-05-04 11:15:00-04:00,BUY PUT,SHORT,75,718.77,715.18,WIN,0.5
SPY,2026-05-07 12:15:00-04:00,BUY PUT,SHORT,75,731.88,733.7,LOSS,-0.25
SPY,2026-05-11 14:55:00-04:00,BUY PUT,SHORT,75,738.52,734.83,WIN,0.5
SPY,2026-05-13 14:15:00-04:00,BUY CALL,LONG,100,743.62,747.34,WIN,0.5
SPY,2026-05-18 12:25:00-04:00,BUY PUT,SHORT,75,734.83,736.67,LOSS,-0.25
SPY,2026-05-21 13:15:00-04:00,BUY CALL,LONG,100,741.76,741.76,BREAKEVEN,0.0
SPY,2026-05-22 13:25:00-04:00,BUY CALL,LONG,100,748.73,746.86,LOSS,-0.25
SPY,2026-05-26 11:50:00-04:00,BUY PUT,SHORT,75,748.55,750.42,LOSS,-0.25
SPY,2026-06-01 12:50:00-04:00,BUY CALL,LONG,100,757.83,758.03,TIME EXIT,0.027
SPY,2026-06-03 09:45:00-04:00,BUY PUT,SHORT,75,755.11,757.0,LOSS,-0.25
SPY,2026-06-05 12:05:00-04:00,BUY PUT,SHORT,75,745.23,741.5,WIN,0.5
SPY,2026-06-08 13:00:00-04:00,BUY PUT,SHORT,75,740.76,742.61,LOSS,-0.25
SPY,2026-06-09 10:45:00-04:00,BUY PUT,SHORT,75,735.26,737.1,LOSS,-0.25
SPY,2026-06-10 13:10:00-04:00,BUY PUT,SHORT,75,729.0,730.82,LOSS,-0.25
SPY,2026-06-11 13:30:00-04:00,BUY CALL,LONG,100,734.23,737.9,WIN,0.5
SPY,2026-06-17 14:00:00-04:00,BUY PUT,SHORT,75,745.15,747.01,LOSS,-0.25
