symbol,timestamp,session_date,hour,direction,setup_type,score,score_bucket,production_alert,trigger,entry_reference,regime,volatility_regime,trend_regime,gap_regime,higher_timeframe_alignment,extension_state,trend_score,momentum_score,volume_score,volatility_score,price_action_score,relative_volume,rsi,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes,mfe_15m,mae_15m,mfe_30m,mae_30m,mfe_60m,mae_60m,mfe_session,mae_session,barrier_plus_015_minus_015,barrier_plus_015_minus_015_bars,barrier_plus_025_minus_025,barrier_plus_025_minus_025_bars,barrier_plus_035_minus_025,barrier_plus_035_minus_025_bars,barrier_plus_050_minus_025,barrier_plus_050_minus_025_bars,barrier_1r_before_stop,barrier_1r_before_stop_bars,barrier_1_5r_before_stop,barrier_1_5r_before_stop_bars,barrier_2r_before_stop,barrier_2r_before_stop_bars,planned_stop,planned_target_1,planned_target_2
SPY,2026-05-04T13:50:00-04:00,2026-05-04,13:00-14:00,Bearish,directional score candidate,28.0,below 50,False,715.5,718.3699951171875,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,normal,25,7,5,4,4,0.7887707880720692,73.16264649103991,-0.2499999999999886,STOP,False,False,False,True,False,0.21437115105183835,-0.5470708273582824,130,0.011138701558755503,-0.08700252018432979,0.1141483260426241,-0.08700252018432979,0.21437115105183835,-0.08700252018432979,0.21437115105183835,-0.5470708273582824,FAVORABLE,7,ADVERSE,26,ADVERSE,26,ADVERSE,26,ADVERSE,26,ADVERSE,26,ADVERSE,26,720.1659201049804,714.7781451416016,711.1862951660157
SPY,2026-05-04T13:55:00-04:00,2026-05-04,13:00-14:00,Bearish,directional score candidate,23.0,below 50,False,715.5,718.330078125,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,7,0,0,4,0.6125238772901669,72.2413693513295,-0.2499999999999905,STOP,False,False,False,True,False,0.20882614842910938,-0.5526581426648721,125,0.005582405481463355,-0.0925642698859388,0.16149890561061492,-0.0925642698859388,0.20882614842910938,-0.0925642698859388,0.20882614842910938,-0.5526581426648721,FAVORABLE,6,ADVERSE,25,ADVERSE,25,ADVERSE,25,ADVERSE,25,ADVERSE,25,ADVERSE,25,720.1259033203124,714.738427734375,711.14677734375
SPY,2026-05-04T14:00:00-04:00,2026-05-04,14:00-15:00,Bullish,directional score candidate,53.0,50-59,False,718.6400146484375,718.8925170898438,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,normal,25,13,5,3,20,0.9340488637259652,82.3829082127307,-0.24999999999998734,STOP,False,False,False,True,False,0.014254985955145611,-0.25907736534917714,40,0.014254985955145611,-0.10050656565635126,0.014254985955145611,-0.23960941847892764,0.014254985955145611,-0.28689963394656376,0.4739888957140377,-0.28689963394656376,ADVERSE,4,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,717.0952857971192,722.4869796752929,726.081442260742
SPY,2026-05-04T14:05:00-04:00,2026-05-04,14:00-15:00,Bullish,directional score candidate,43.0,below 50,False,718.9299926757812,718.7100219726562,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,normal,25,7,17,7,4,1.796089715762545,80.46659779614325,-0.2499999999999905,STOP,False,False,False,True,False,0.0097406912493859,-0.26158044626293325,40,0.0097406912493859,-0.1614050373895627,0.0097406912493859,-0.21427822284612466,0.0097406912493859,-0.26158044626293325,0.49950128849727976,-0.26158044626293325,ADVERSE,3,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,ADVERSE,8,716.9132469177247,722.3035720825195,725.8971221923828
SPY,2026-05-04T14:10:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,30.0,below 50,False,716.2999877929688,718.4500122070312,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,normal,25,7,0,7,4,0.8293172369696581,70.9165796928582,-0.24999999999998734,STOP,False,False,False,True,False,0.22548473653873027,-0.5358724365680818,110,0.17816539426909245,-0.005564482798314684,0.19764533175998644,-0.005564482798314684,0.22548473653873027,-0.005564482798314684,0.22548473653873027,-0.5358724365680818,FAVORABLE,3,ADVERSE,22,ADVERSE,22,ADVERSE,22,ADVERSE,22,ADVERSE,22,ADVERSE,22,720.2461372375487,714.857762145996,711.2655120849608
SPY,2026-05-04T14:15:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,44.0,below 50,False,716.2999877929688,718.25,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,14,14,7,4,1.2235668489884732,63.12037344479384,-0.2499999999999962,STOP,False,False,False,True,False,0.1977003703663418,-0.5638688190697877,105,0.150367851005047,-0.0041808975809258615,0.1977003703663418,-0.0041808975809258615,0.1977003703663418,-0.0041808975809258615,0.1977003703663418,-0.5638688190697877,FAVORABLE,2,ADVERSE,21,ADVERSE,21,ADVERSE,21,ADVERSE,21,ADVERSE,21,ADVERSE,21,720.045625,714.6587499999999,711.0674999999999
SPY,2026-05-04T14:20:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,45.0,below 50,False,716.2999877929688,717.7000122070312,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,14,5,7,8,1.0599251538196903,53.164301905801366,-0.24999999999999745,STOP,False,False,False,True,False,0.12121988329248307,-0.6409329117595958,100,0.07385109208025277,-0.02368439560611515,0.12121988329248307,-0.02368439560611515,0.12121988329248307,-0.07244788731364271,0.12121988329248307,-0.6409329117595958,ADVERSE,20,ADVERSE,20,ADVERSE,20,ADVERSE,20,ADVERSE,20,ADVERSE,20,ADVERSE,20,719.4942622375488,714.1115121459961,710.523012084961
SPY,2026-05-04T14:25:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,57.0,50-59,False,716.2999877929688,717.760009765625,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,14,17,4,4,1.455411868803585,41.29272604815626,-0.24999999999999367,STOP,False,False,False,True,False,0.12956875043580746,-0.6325203362647941,95,0.10170258287144829,-0.015323415914243294,0.12956875043580746,-0.015323415914243294,0.12956875043580746,-0.06408283148154131,0.12956875043580746,-0.6325203362647941,ADVERSE,19,ADVERSE,19,ADVERSE,19,ADVERSE,19,ADVERSE,19,ADVERSE,19,ADVERSE,19,719.554409790039,714.1712097167969,710.5824096679687
SPY,2026-05-04T14:30:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,58.0,50-59,False,716.2999877929688,717.639892578125,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,20,9,4,4,1.1524036163602196,35.48449821756509,-0.24999999999999428,STOP,False,False,False,True,False,0.11285262938376629,-0.6493640143251143,90,0.11285262938376629,0.0,0.11285262938376629,0.0,0.11285262938376629,-0.08083136556359295,0.11285262938376629,-0.6493640143251143,ADVERSE,18,ADVERSE,18,ADVERSE,18,ADVERSE,18,ADVERSE,18,ADVERSE,18,ADVERSE,18,719.4339923095703,714.0516931152343,710.4634936523437
SPY,2026-05-04T14:35:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,53.0,50-59,False,716.4500122070312,717.530029296875,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,20,0,4,4,0.7810806185638485,31.59259339282241,-0.24999999999999428,STOP,False,False,False,True,False,0.09755859384968305,-0.6647747552486336,85,0.09755859384968305,-0.008361679113631391,0.09755859384968305,-0.0961550566637734,0.09755859384968305,-0.10173518026351112,0.09755859384968305,-0.6647747552486336,ADVERSE,17,ADVERSE,17,ADVERSE,17,ADVERSE,17,ADVERSE,17,ADVERSE,17,ADVERSE,17,719.3238543701171,713.9423791503906,710.3547290039062
SPY,2026-05-04T14:40:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,56.0,50-59,False,716.47998046875,717.0700073242188,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,20,0,7,4,0.7794962246582781,31.151068407933707,-0.25,STOP,False,False,False,True,False,0.03346817352890481,-0.7293542353369267,80,0.03346817352890481,-0.07390746458582922,0.03346817352890481,-0.16036975011650448,0.03346817352890481,-0.1659534535333309,0.03346817352890481,-0.7293542353369267,ADVERSE,5,ADVERSE,16,ADVERSE,16,ADVERSE,16,ADVERSE,16,ADVERSE,16,ADVERSE,16,718.8626823425293,713.4846572875977,709.8993072509766
SPY,2026-05-04T14:45:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,55.0,50-59,False,717.030029296875,717.47998046875,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,14,5,7,4,0.9866894197952218,40.38723597547127,-0.24999999999998795,STOP,False,False,False,True,False,0.07386523333689488,-0.6717967686108401,75,0.07386523333689488,-0.01672452478870613,0.07386523333689488,-0.1031374051568022,0.07386523333689488,-0.10871791800593304,0.07386523333689488,-0.6717967686108401,ADVERSE,15,ADVERSE,15,ADVERSE,15,ADVERSE,15,ADVERSE,15,ADVERSE,15,ADVERSE,15,719.2736804199218,713.8925805664062,710.3051806640624
SPY,2026-05-04T14:50:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,57.0,50-59,False,716.8300170898438,717.1400146484375,low-volatility compression,low-volatility compression,mixed/neutral,<0.25 ATR,unavailable,extended,25,20,5,7,4,1.0636460552524056,34.514071692313124,-0.24999999999999745,STOP,False,False,False,True,False,0.008366226590097963,-0.7195210194847119,70,0.008366226590097963,-0.15059207862176333,0.008366226590097963,-0.15059207862176333,0.008366226590097963,-0.1561752369565591,0.008366226590097963,-0.7195210194847119,ADVERSE,3,ADVERSE,14,ADVERSE,14,ADVERSE,14,ADVERSE,14,ADVERSE,14,ADVERSE,14,718.9328646850586,713.5543145751953,709.9686145019532
SPY,2026-05-04T14:55:00-04:00,2026-05-04,14:00-15:00,Bearish,directional score candidate,55.0,50-59,False,716.8300170898438,717.469970703125,bearish trend,normal,bearish trend,<0.25 ATR,unavailable,extended,25,14,9,7,4,1.3095343357168086,38.76765507557611,-0.2500000000000025,STOP,False,False,False,True,False,0.04738397900881223,-0.673201288844229,65,0.04738397900881223,-0.10453399175229527,0.04738397900881223,-0.10453399175229527,0.04738397900881223,-0.11011458245782145,0.04738397900881223,-0.673201288844229,ADVERSE,13,ADVERSE,13,ADVERSE,13,ADVERSE,13,ADVERSE,13,ADVERSE,13,ADVERSE,13,719.2636456298828,713.8826208496093,710.2952709960937
SPY,2026-05-05T09:45:00-04:00,2026-05-05,09:30-10:00,Bullish,directional score candidate,47.0,below 50,False,722.47998046875,722.1599731445312,opening gap continuation,normal,mixed/neutral,gap continuation,aligned,extended,18,13,0,12,4,0.5368711030157197,79.51408904411515,0.240950943591414,TIME_EXIT,False,False,False,False,False,0.25627396652211076,-0.051234509104182945,240,0.08723896452876549,-0.002763722282591195,0.17032811975859435,-0.051234509104182945,0.2090962974657681,-0.051234509104182945,0.9720864894633299,-0.051234509104182945,FAVORABLE,5,FAVORABLE,45,FAVORABLE,54,FAVORABLE,75,FAVORABLE,45,FAVORABLE,65,FAVORABLE,75,720.35457321167,725.7707730102538,729.3815728759764
SPY,2026-05-05T09:50:00-04:00,2026-05-05,09:30-10:00,Bullish,directional score candidate,46.0,below 50,False,722.6199951171875,722.3699951171875,opening gap continuation,normal,mixed/neutral,gap continuation,aligned,extended,18,7,5,12,4,0.8862988503676211,79.73925801718717,0.23810952142360445,TIME_EXIT,False,False,False,False,False,0.2519494630896867,-0.08029362982465182,240,0.11748741689064333,-0.03183693540769105,0.14120458188251933,-0.08029362982465182,0.17996148812325152,-0.08029362982465182,0.9427298482253528,-0.08029362982465182,FAVORABLE,7,FAVORABLE,48,FAVORABLE,64,FAVORABLE,74,FAVORABLE,48,FAVORABLE,74,FAVORABLE,74,720.5640701293946,725.9818450927734,729.5936950683592
SPY,2026-05-05T09:55:00-04:00,2026-05-05,09:30-10:00,Bullish,directional score candidate,37.0,below 50,False,722.7899780273438,722.530029296875,opening gap continuation,normal,mixed/neutral,gap continuation,aligned,extended,18,7,0,8,4,0.39583017676654075,81.15777148503999,0.20483307388486435,TIME_EXIT,False,False,False,False,False,0.23389220346932216,-0.10242498436382301,240,0.11902416739680546,-0.053979022687408576,0.15777248931654617,-0.10242498436382301,0.15777248931654617,-0.10242498436382301,0.9203719027951841,-0.10242498436382301,FAVORABLE,6,FAVORABLE,50,FAVORABLE,73,FAVORABLE,73,FAVORABLE,50,FAVORABLE,73,FAVORABLE,73,720.7237042236328,726.1426794433593,729.7553295898435
