event_id,opened_at,last_checked_at,symbol,bias,action,score,entry_price,target_price,stop_price,price_5m,return_5m,outcome_5m,price_10m,return_10m,outcome_10m,price_15m,return_15m,outcome_15m,price_30m,return_30m,outcome_30m,price_60m,return_60m,outcome_60m,max_favorable,max_adverse,status
0c73a48ac1efc22f,2026-07-24T13:47:20.835557-04:00,2026-07-24T15:05:22.659135-04:00,XLB,Bullish,Monitor setup,60,51.0800,51.2000,50.7600,,,,,,,51.1500,0.14,Follow-through,51.1500,0.14,Follow-through,51.1500,0.14,Follow-through,0.14,0.00,COMPLETE
70a7053e75c09800,2026-07-24T13:47:39.091199-04:00,2026-07-24T15:05:22.659135-04:00,CELH,Bearish,Monitor setup,62,26.9500,26.9200,27.2700,,,,,,,26.8600,0.33,Follow-through,26.8600,0.33,Follow-through,26.8600,0.33,Follow-through,0.33,0.00,COMPLETE
d00259d183269a7c,2026-07-27T11:36:26.851562-04:00,2026-07-27T13:20:46.664619-04:00,XLI,Bearish,Monitor setup,65,181.0700,180.8200,183.4300,,,,,,,181.7350,-0.37,Stalled,181.7350,-0.37,Stalled,181.7350,-0.37,Stalled,0.00,-0.37,COMPLETE
43233bb1783ef690,2026-07-27T11:36:33.241524-04:00,2026-07-27T13:20:46.664619-04:00,BP,Bearish,Monitor setup,71,42.6950,42.6400,43.0300,,,,,,,42.7200,-0.06,Stalled,42.7200,-0.06,Stalled,42.7200,-0.06,Stalled,0.00,-0.06,COMPLETE
819a2fa8f293c66b,2026-07-27T11:36:39.707954-04:00,2026-07-27T13:20:46.664619-04:00,ARKK,Bearish,Monitor setup,60,71.6100,71.0300,73.2400,,,,,,,71.9600,-0.49,Stalled,71.9600,-0.49,Stalled,71.9600,-0.49,Stalled,0.00,-0.49,COMPLETE
9ce62be32125e20f,2026-07-27T11:36:40.758939-04:00,2026-07-27T13:20:46.664619-04:00,AMZN,Bearish,Monitor setup,62,232.3442,231.9900,235.0100,,,,,,,231.9200,0.18,Follow-through,231.9200,0.18,Follow-through,231.9200,0.18,Follow-through,0.18,0.00,COMPLETE
f2841f0b5b055702,2026-07-27T13:20:33.545031-04:00,2026-07-27T14:51:38.259830-04:00,CAVA,Bullish,Monitor setup,62,63.6550,63.7100,62.6900,64.3600,1.11,Strong follow-through,64.3600,1.11,Strong follow-through,64.3600,1.11,Strong follow-through,64.3600,1.11,Strong follow-through,64.3600,1.11,Strong follow-through,1.11,0.00,COMPLETE
22ef67403081d374,2026-07-28T11:11:41.880996-04:00,2026-07-28T12:49:31.526948-04:00,AAPL,Bullish,Monitor setup,60,339.2400,343.6300,335.6000,339.1400,-0.03,Stalled,339.1400,-0.03,Stalled,339.1400,-0.03,Stalled,339.1400,-0.03,Stalled,339.1400,-0.03,Stalled,0.00,-0.03,COMPLETE
e80c9b6fbc3ae396,2026-07-28T12:49:25.938440-04:00,2026-07-28T14:05:02.904438-04:00,GDX,Bearish,Monitor setup,77,74.5050,73.5000,75.1400,74.1500,0.48,Follow-through,74.1500,0.48,Follow-through,74.1500,0.48,Follow-through,74.1500,0.48,Follow-through,74.1500,0.48,Follow-through,0.48,0.00,COMPLETE
3967d9b4b9f32b5f,2026-07-28T14:04:44.143470-04:00,2026-07-28T15:46:27.091880-04:00,XLV,Bullish,Monitor setup,80,167.3400,167.5500,166.8100,167.4100,0.04,Follow-through,167.4100,0.04,Follow-through,167.4100,0.04,Follow-through,167.4100,0.04,Follow-through,167.4100,0.04,Follow-through,0.04,0.00,COMPLETE
58999d8219b821b5,2026-07-28T14:04:45.153597-04:00,2026-07-28T15:46:27.091880-04:00,XLU,Bearish,Monitor setup,68,45.7750,45.6600,46.0200,45.7100,0.14,Follow-through,45.7100,0.14,Follow-through,45.7100,0.14,Follow-through,45.7100,0.14,Follow-through,45.7100,0.14,Follow-through,0.14,0.00,COMPLETE
f0721558c6551620,2026-07-28T14:04:47.432064-04:00,2026-07-28T15:46:27.091880-04:00,ADBE,Bearish,Monitor setup,69,252.5050,252.1800,254.0600,248.4600,1.60,Strong follow-through,248.4600,1.60,Strong follow-through,248.4600,1.60,Strong follow-through,248.4600,1.60,Strong follow-through,248.4600,1.60,Strong follow-through,1.60,0.00,COMPLETE
accd6baabb1a0b9c,2026-07-28T14:04:47.882959-04:00,2026-07-28T15:46:27.091880-04:00,ASML,Bearish,Monitor setup,63,1581.4301,1568.4100,1589.2900,1585.4200,-0.25,Stalled,1585.4200,-0.25,Stalled,1585.4200,-0.25,Stalled,1585.4200,-0.25,Stalled,1585.4200,-0.25,Stalled,0.00,-0.25,COMPLETE
96272a41f982f292,2026-07-28T14:04:53.610244-04:00,2026-07-28T15:46:27.091880-04:00,BITO,Bearish,Monitor setup,60,8.6320,8.5700,8.6800,8.6250,0.08,Follow-through,8.6250,0.08,Follow-through,8.6250,0.08,Follow-through,8.6250,0.08,Follow-through,8.6250,0.08,Follow-through,0.08,0.00,COMPLETE
